MOF, H,C,N,F,Cl,Br,Zn,Cu,Cd,Co,Mn,Ag,Ni,Fe,Mo,In,metal type, total degree of unsaturation,metalic percentage, oxygetn-to-metal ratio,electronegtive-to-total ratio, weighted electronegativity per atom, nitrogen to oxygen 
UGUHAG_clean.cif,0,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0, ,46,16.66666667,6,0.517241379,1.737931034,0.25
UGUHEK_clean.cif,0,48,12,0,0,0,0,0,0,0,0,0,0,0,0,0, ,46,16.66666667,6,0.517241379,1.737931034,0.25
UGUQOC_charged.cif,20,20,4,0,0,0,2,0,0,0,0,0,0,0,0,0, Zn,10,10,8,0.322580645,1.083870968,0.25
UGUQUK_clean.cif,124,176,32,0,0,0,0,0,0,8,0,0,0,0,0,0, Co,107,4.545454545,4,0.172043011,0.557419355,1
UGUXAV_clean.cif,64,64,0,0,0,0,0,0,8,0,0,0,0,0,0,0, Cd,33,12.5,8,0.32,1.1008,0
UHADAI_clean.cif,0,24,24,0,0,0,0,0,8,0,0,0,0,0,0,0, Cd,19,33.33333333,0,0.3,0.912,0
UHASED_clean.cif,8,28,0,0,0,0,0,4,0,0,0,0,0,0,0,0, Cu,25,14.28571429,6,0.375,1.29,0
UHAXUW_clean.cif,32,56,24,0,0,0,0,0,4,0,0,0,0,0,0,0, Cd,35,7.142857143,1,0.21875,0.6775,6
UHISEK_clean.cif,26,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,38,8,7,0.259259259,0.891851852,0
UHISOU_clean.cif,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,10,20,4,0.363636364,1.250909091,0
UHIYOB_clean.cif,80,72,16,0,0,0,0,0,0,4,0,0,0,0,0,0, Co,29,5.555555556,4,0.170212766,0.551489362,1
UHOHEG_clean.cif,160,208,24,0,0,0,0,0,0,0,0,0,0,4,0,0, Fe,123,1.923076923,0,0.058252427,0.177087379,0
UHUPET_clean.cif,0,622,0,0,0,0,32,0,0,0,0,0,0,0,0,0, Zn,623,5.144694534,4.75,0.188585608,0.648734491,0
UHUPOD01_clean.cif,480,768,0,0,0,0,64,0,0,0,0,0,0,0,0,0, Zn,529,8.333333333,3.125,0.132275132,0.455026455,0
UJAQAY_clean.cif,36,76,4,0,0,0,0,0,0,0,6,0,0,0,0,0, Mn,58,7.894736842,6.666666667,0.271604938,0.924444444,0.1
UJAQEC_clean.cif,16,34,0,0,0,0,0,0,0,4,0,0,0,0,0,0, Co,27,11.76470588,5.5,0.289473684,0.995789474,0
UJAQUS_clean.cif,40,72,0,0,0,0,8,0,0,0,0,0,0,0,0,0, Zn,53,11.11111111,5,0.25,0.86,0
UJECUI_clean.cif,90,54,18,0,0,0,0,0,0,9,0,0,0,0,0,0, Co,5.5,22.22222222,3,0.236842105,0.783157895,0.5
UJEDIX_clean.cif,90,54,18,0,0,0,0,0,0,9,0,0,0,0,0,0, Co,5.5,22.22222222,3,0.236842105,0.783157895,0.5
UJEFOE01_clean.cif,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,55,5.555555556,6,0.176470588,0.607058824,0
UJEFOE_clean.cif,36,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ,55,5.555555556,6,0.176470588,0.607058824,0
UJEGUL_clean.cif,12,72,4,0,0,0,0,8,0,0,0,0,0,0,0,0, Cu,66,11.11111111,4,0.272727273,0.926060606,0.125
UJILAA_clean.cif,0,135,135,0,0,0,0,90,0,0,0,0,0,0,0,0, Cu,102.25,66.66666667,0,0.375,1.14,0
